SampleID	Population
AFR___ACB___HG01879	African
AFR___ACB___HG01880	African
AFR___ACB___HG01882	African
AFR___ACB___HG01883	African
AFR___ACB___HG01885	African
AFR___ACB___HG01886	African
AFR___ACB___HG01889	African
AFR___ACB___HG01890	African
AFR___ACB___HG01894	African
AFR___ACB___HG01896	African
AFR___ACB___HG01912	African
AFR___ACB___HG01914	African
AFR___ACB___HG01915	African
AFR___ACB___HG01956	African
AFR___ACB___HG01958	African
AFR___ACB___HG01985	African
AFR___ACB___HG01986	African
AFR___ACB___HG01988	African
AFR___ACB___HG01989	African
AFR___ACB___HG01990	African
AFR___ACB___HG02009	African
AFR___ACB___HG02010	African
AFR___ACB___HG02012	African
AFR___ACB___HG02013	African
AFR___ACB___HG02014	African
AFR___ACB___HG02051	African
AFR___ACB___HG02052	African
AFR___ACB___HG02053	African
AFR___ACB___HG02054	African
AFR___ACB___HG02095	African
AFR___ACB___HG02107	African
AFR___ACB___HG02108	African
AFR___ACB___HG02111	African
AFR___ACB___HG02143	African
AFR___ACB___HG02144	African
AFR___ACB___HG02255	African
AFR___ACB___HG02256	African
AFR___ACB___HG02281	African
AFR___ACB___HG02282	African
AFR___ACB___HG02283	African
AFR___ACB___HG02284	African
AFR___ACB___HG02307	African
AFR___ACB___HG02308	African
AFR___ACB___HG02309	African
AFR___ACB___HG02314	African
AFR___ACB___HG02315	African
AFR___ACB___HG02317	African
AFR___ACB___HG02318	African
AFR___ACB___HG02322	African
AFR___ACB___HG02323	African
AFR___ACB___HG02325	African
AFR___ACB___HG02330	African
AFR___ACB___HG02332	African
AFR___ACB___HG02334	African
AFR___ACB___HG02337	African
AFR___ACB___HG02339	African
AFR___ACB___HG02343	African
AFR___ACB___HG02419	African
AFR___ACB___HG02420	African
AFR___ACB___HG02427	African
AFR___ACB___HG02429	African
AFR___ACB___HG02433	African
AFR___ACB___HG02436	African
AFR___ACB___HG02439	African
AFR___ACB___HG02442	African
AFR___ACB___HG02445	African
AFR___ACB___HG02449	African
AFR___ACB___HG02450	African
AFR___ACB___HG02455	African
AFR___ACB___HG02470	African
AFR___ACB___HG02471	African
AFR___ACB___HG02476	African
AFR___ACB___HG02477	African
AFR___ACB___HG02479	African
AFR___ACB___HG02481	African
AFR___ACB___HG02484	African
AFR___ACB___HG02485	African
AFR___ACB___HG02489	African
AFR___ACB___HG02496	African
AFR___ACB___HG02497	African
AFR___ACB___HG02501	African
AFR___ACB___HG02502	African
AFR___ACB___HG02505	African
AFR___ACB___HG02508	African
AFR___ACB___HG02511	African
AFR___ACB___HG02536	African
AFR___ACB___HG02537	African
AFR___ACB___HG02541	African
AFR___ACB___HG02545	African
AFR___ACB___HG02546	African
AFR___ACB___HG02549	African
AFR___ACB___HG02554	African
AFR___ACB___HG02555	African
AFR___ACB___HG02557	African
AFR___ACB___HG02558	African
AFR___ACB___HG02577	African
AFR___ACB___HG02580	African
AFR___ASW___NA19625	African
AFR___ASW___NA19700	African
AFR___ASW___NA19701	African
AFR___ASW___NA19703	African
AFR___ASW___NA19704	African
AFR___ASW___NA19707	African
AFR___ASW___NA19711	African
AFR___ASW___NA19712	African
AFR___ASW___NA19713	African
AFR___ASW___NA19818	African
AFR___ASW___NA19819	African
AFR___ASW___NA19834	African
AFR___ASW___NA19835	African
AFR___ASW___NA19900	African
AFR___ASW___NA19901	African
AFR___ASW___NA19904	African
AFR___ASW___NA19908	African
AFR___ASW___NA19909	African
AFR___ASW___NA19913	African
AFR___ASW___NA19914	African
AFR___ASW___NA19916	African
AFR___ASW___NA19917	African
AFR___ASW___NA19920	African
AFR___ASW___NA19921	African
AFR___ASW___NA19922	African
AFR___ASW___NA19923	African
AFR___ASW___NA19982	African
AFR___ASW___NA19984	African
AFR___ASW___NA20126	African
AFR___ASW___NA20127	African
AFR___ASW___NA20274	African
AFR___ASW___NA20276	African
AFR___ASW___NA20278	African
AFR___ASW___NA20281	African
AFR___ASW___NA20282	African
AFR___ASW___NA20287	African
AFR___ASW___NA20289	African
AFR___ASW___NA20291	African
AFR___ASW___NA20294	African
